NAV Date,NAV (Rs)
31-10-2023,133.7793
30-10-2023,133.6865
27-10-2023,133.2994
26-10-2023,130.9224
25-10-2023,131.3288
23-10-2023,132.4422
20-10-2023,137.0188
19-10-2023,137.6961
18-10-2023,137.7805
17-10-2023,138.2678
16-10-2023,137.6497
13-10-2023,137.2169
12-10-2023,137.3678
11-10-2023,136.7425
10-10-2023,135.9056
09-10-2023,134.4442
06-10-2023,136.3257
05-10-2023,135.5526
04-10-2023,134.8223
03-10-2023,136.1616
29-09-2023,135.5188
27-09-2023,135.4432
26-09-2023,134.7757
25-09-2023,134.2018
22-09-2023,133.8741
21-09-2023,134.0122
20-09-2023,135.289
18-09-2023,136.1308
15-09-2023,136.9953
14-09-2023,137.0399
13-09-2023,136.023
12-09-2023,134.851
11-09-2023,139.7459
08-09-2023,138.5435
07-09-2023,137.6034
06-09-2023,137.1979
05-09-2023,137.2798
04-09-2023,136.2079
01-09-2023,134.8962
31-08-2023,133.7825
30-08-2023,132.5529
29-08-2023,131.7301
28-08-2023,131.108
25-08-2023,130.3601
24-08-2023,130.4795
23-08-2023,130.7615
22-08-2023,130.0389
21-08-2023,128.8331
18-08-2023,127.9759
17-08-2023,128.2248
16-08-2023,127.6251
14-08-2023,127.9856
11-08-2023,128.703
10-08-2023,128.8397
09-08-2023,129.1393
08-08-2023,128.8424
07-08-2023,127.5925
04-08-2023,127.2392
03-08-2023,126.6237
02-08-2023,126.5429
01-08-2023,127.9481
31-07-2023,127.6549
28-07-2023,126.3004
27-07-2023,125.8473
26-07-2023,125.9138
25-07-2023,125.5639
24-07-2023,125.3154
21-07-2023,125.0709
20-07-2023,125.2529
19-07-2023,125.0259
18-07-2023,124.0586
17-07-2023,124.6549
14-07-2023,123.6655
13-07-2023,122.7141
12-07-2023,123.2185
11-07-2023,122.5134
10-07-2023,121.5571
07-07-2023,121.7425
06-07-2023,122.107
05-07-2023,121.3495
04-07-2023,120.6521
03-07-2023,120.7581
30-06-2023,120.168
28-06-2023,119.5648
27-06-2023,119.3746
26-06-2023,118.6773
23-06-2023,118.1166
22-06-2023,119.2473
21-06-2023,119.7809
20-06-2023,118.9501
19-06-2023,118.4654
16-06-2023,118.1254
15-06-2023,117.1728
14-06-2023,116.9403
13-06-2023,116.7067
12-06-2023,116.3771
09-06-2023,115.9835
08-06-2023,115.9026
07-06-2023,116.5335
06-06-2023,115.3634
05-06-2023,114.7208
02-06-2023,113.9127
01-06-2023,113.2503
31-05-2023,112.6206
30-05-2023,111.7084
29-05-2023,111.3741
26-05-2023,110.9613
25-05-2023,110.4188
24-05-2023,110.1973
23-05-2023,110.052
22-05-2023,110.1053
19-05-2023,109.4846
18-05-2023,109.471
17-05-2023,109.6044
16-05-2023,109.1744
15-05-2023,109.0849
12-05-2023,108.6203
11-05-2023,108.6425
10-05-2023,108.0039
09-05-2023,107.4416
08-05-2023,107.7804
05-05-2023,106.9571
04-05-2023,107.287
03-05-2023,106.6082
